-----starting training--------
Epoch 1, Training Loss: 1.311590, Validation Loss: 1.151416, Accuracy: 0.608412
Epoch 2, Training Loss: 1.209726, Validation Loss: 1.055890, Accuracy: 0.640434
Epoch 3, Training Loss: 1.131590, Validation Loss: 1.003764, Accuracy: 0.666757
Epoch 4, Training Loss: 1.083736, Validation Loss: 0.971717, Accuracy: 0.678155
Epoch 5, Training Loss: 1.067011, Validation Loss: 0.951226, Accuracy: 0.683582
Epoch 6, Training Loss: 1.116885, Validation Loss: 1.046087, Accuracy: 0.640977
Epoch 7, Training Loss: 1.056778, Validation Loss: 0.905577, Accuracy: 0.695794
Epoch 8, Training Loss: 1.000721, Validation Loss: 0.854118, Accuracy: 0.716147
Epoch 9, Training Loss: 0.948373, Validation Loss: 0.827294, Accuracy: 0.721574
Epoch 10, Training Loss: 0.935057, Validation Loss: 0.831125, Accuracy: 0.724288
Epoch 11, Training Loss: 0.996435, Validation Loss: 0.825559, Accuracy: 0.724559
Epoch 12, Training Loss: 0.939123, Validation Loss: 0.765821, Accuracy: 0.745455
Epoch 13, Training Loss: 0.885550, Validation Loss: 0.741550, Accuracy: 0.750611
Epoch 14, Training Loss: 0.846594, Validation Loss: 0.714176, Accuracy: 0.760109
Epoch 15, Training Loss: 0.824952, Validation Loss: 0.741669, Accuracy: 0.748440
Epoch 16, Training Loss: 0.895689, Validation Loss: 0.716749, Accuracy: 0.759294
Epoch 17, Training Loss: 0.843267, Validation Loss: 0.688366, Accuracy: 0.767978
Epoch 18, Training Loss: 0.796662, Validation Loss: 0.655111, Accuracy: 0.780733
Epoch 19, Training Loss: 0.760705, Validation Loss: 0.646737, Accuracy: 0.784532
Epoch 20, Training Loss: 0.745978, Validation Loss: 0.654406, Accuracy: 0.780190
Epoch 21, Training Loss: 0.801635, Validation Loss: 0.631942, Accuracy: 0.792402
Epoch 22, Training Loss: 0.768164, Validation Loss: 0.624951, Accuracy: 0.789688
Epoch 23, Training Loss: 0.720088, Validation Loss: 0.598456, Accuracy: 0.795658
Epoch 24, Training Loss: 0.693702, Validation Loss: 0.582235, Accuracy: 0.804071
Epoch 25, Training Loss: 0.670682, Validation Loss: 0.568438, Accuracy: 0.809498
Epoch 26, Training Loss: 0.750439, Validation Loss: 0.635149, Accuracy: 0.787246
Epoch 27, Training Loss: 0.702334, Validation Loss: 0.552368, Accuracy: 0.813026
Epoch 28, Training Loss: 0.660957, Validation Loss: 0.543116, Accuracy: 0.818725
Epoch 29, Training Loss: 0.636702, Validation Loss: 0.503113, Accuracy: 0.835278
Epoch 30, Training Loss: 0.611594, Validation Loss: 0.514705, Accuracy: 0.829308
Epoch 31, Training Loss: 0.680618, Validation Loss: 0.517035, Accuracy: 0.831750
Epoch 32, Training Loss: 0.649917, Validation Loss: 0.531644, Accuracy: 0.822524
Epoch 33, Training Loss: 0.612477, Validation Loss: 0.485815, Accuracy: 0.839620
Epoch 34, Training Loss: 0.594989, Validation Loss: 0.479156, Accuracy: 0.840163
Epoch 35, Training Loss: 0.573011, Validation Loss: 0.473637, Accuracy: 0.846676
Epoch 36, Training Loss: 0.636533, Validation Loss: 0.561563, Accuracy: 0.809227
Epoch 37, Training Loss: 0.612788, Validation Loss: 0.496477, Accuracy: 0.835821
Epoch 38, Training Loss: 0.569675, Validation Loss: 0.456704, Accuracy: 0.853731
Epoch 39, Training Loss: 0.534070, Validation Loss: 0.440573, Accuracy: 0.863229
Epoch 40, Training Loss: 0.516736, Validation Loss: 0.445965, Accuracy: 0.856988
Epoch 41, Training Loss: 0.592474, Validation Loss: 0.446160, Accuracy: 0.855902
Epoch 42, Training Loss: 0.574492, Validation Loss: 0.451609, Accuracy: 0.852103
Epoch 43, Training Loss: 0.532090, Validation Loss: 0.426561, Accuracy: 0.866486
Epoch 44, Training Loss: 0.503842, Validation Loss: 0.393963, Accuracy: 0.877883
Epoch 45, Training Loss: 0.483282, Validation Loss: 0.405399, Accuracy: 0.875170
Epoch 46, Training Loss: 0.544234, Validation Loss: 0.456030, Accuracy: 0.853189
Epoch 47, Training Loss: 0.538311, Validation Loss: 0.420876, Accuracy: 0.860244
Epoch 48, Training Loss: 0.503391, Validation Loss: 0.396854, Accuracy: 0.874084
Epoch 49, Training Loss: 0.469324, Validation Loss: 0.435498, Accuracy: 0.862144
Epoch 50, Training Loss: 0.450327, Validation Loss: 0.389949, Accuracy: 0.875712
